Model,Target,MAE,RMSE,R²,MAPE,Train Time (s),Pred Time (s),Predictions/sec
Gradient Boosting,dep_delay_min,5.861388639739658,8.820942512990475,0.9845969705617005,76.52851552049088,19.321236848831177,0.03600430488586426,759798.0321164404
LightGBM,dep_delay_min,6.153955047535209,10.684977780211126,0.9773992209948994,77.60577948290391,0.17169713973999023,0.011002540588378906,2486334.8405998093
XGBoost,dep_delay_min,6.243798732757568,12.631047075350743,0.9684168696403503,76.71590281426526,0.23033976554870605,0.010000944137573242,2735341.746108184
Random Forest,dep_delay_min,6.295477124400453,10.16028758205522,0.9795643637752947,77.40186241437465,3.5119383335113525,0.029543161392211914,925967.2530242993
CatBoost,dep_delay_min,6.504841075461378,10.375128589084197,0.9786909966307511,78.66296881966898,0.8853986263275146,0.003998756408691406,6841126.891485809
Decision Tree,dep_delay_min,6.654019004929191,10.836351984136398,0.9767543139275602,78.6100738696812,0.385638952255249,0.003004312515258789,9105577.3529085
Extra Trees,dep_delay_min,7.156939593224889,10.972417753978826,0.9761668838056305,83.52632386996491,1.3766984939575195,0.030274629592895508,903594.8702876809
Lasso,dep_delay_min,7.391101015085606,10.46749175485545,0.978309906861561,114.85652050196946,4.380074739456177,0.002000570297241211,13674100.849004887
Linear Regression,dep_delay_min,7.391863267266746,10.461431358921482,0.9783350155508584,115.77090860790142,0.02935624122619629,0.002006053924560547,13636722.156405991
Ridge,dep_delay_min,7.3918633280478305,10.4614313739605,0.9783350154885687,115.77090527535825,0.015995502471923828,0.002000093460083008,13677360.856359519
ElasticNet,dep_delay_min,7.39472596850883,10.465875376705272,0.9783166050632945,115.19460330569974,4.461723327636719,0.0019986629486083984,13687150.211618753
KNN,dep_delay_min,10.083082321976896,19.240365218741257,0.9267170767485904,110.30548491382646,0.008997201919555664,3.494472026824951,7828.364282216172
AdaBoost,dep_delay_min,144.9119459686523,148.2456102563545,-3.35050674549227,3533.7730931914953,11.155468940734863,0.15903234481811523,172015.3219855179
